transaction_id,accm_txn_complete_time
4817,5/28/2022
5186,5/30/2022
6365,5/24/2022
8439,5/28/2022
8557,5/30/2022
8780,5/25/2022
8799,5/26/2022
9265,5/26/2022
10124,5/28/2022
10274,5/27/2022
11109,5/26/2022
11684,5/27/2022
12336,5/27/2022
12596,5/28/2022
13207,5/30/2022
14365,5/24/2022
15818,5/30/2022
16000,5/30/2022
16813,5/26/2022
17820,5/25/2022
18293,5/29/2022
18550,5/28/2022
18830,5/25/2022
19693,5/31/2022
1939,5/24/2022
2487,5/25/2022
3391,5/27/2022
4176,5/24/2022
4369,5/24/2022
4704,5/31/2022
4950,5/26/2022
5447,5/24/2022
6127,5/31/2022
7947,5/30/2022
8297,5/30/2022
8308,5/30/2022
8452,5/25/2022
10476,5/31/2022
11207,5/28/2022
11466,5/25/2022
11728,5/29/2022
12553,5/28/2022
12594,5/26/2022
13143,5/28/2022
13544,5/30/2022
14294,5/28/2022
14796,5/30/2022
15198,5/30/2022
15338,5/24/2022
15691,5/28/2022
16001,5/31/2022
16265,5/29/2022
17042,5/29/2022
17267,5/27/2022
17981,5/27/2022
18195,5/31/2022
18726,5/31/2022
18793,5/30/2022
19135,5/29/2022
19139,5/27/2022
19146,5/24/2022
19321,5/26/2022
1126,5/30/2022
1845,5/31/2022
2027,5/30/2022
2046,5/30/2022
2683,5/28/2022
2717,5/31/2022
3058,5/29/2022
3175,5/28/2022
3354,5/28/2022
3558,5/24/2022
4439,5/31/2022
4649,5/26/2022
5257,5/30/2022
5327,5/30/2022
5701,5/24/2022
6948,5/31/2022
7057,5/26/2022
7142,5/30/2022
8068,5/24/2022
8598,5/26/2022
9640,5/26/2022
10283,5/31/2022
11023,5/29/2022
11720,5/29/2022
12044,5/27/2022
12443,5/30/2022
12838,5/31/2022
13126,5/30/2022
14068,5/27/2022
14139,5/28/2022
14972,5/28/2022
15506,5/25/2022
16400,5/31/2022
17579,5/31/2022
17826,5/24/2022
18181,5/29/2022
18497,5/30/2022
19085,5/30/2022
19153,5/30/2022
19175,5/29/2022
19261,5/30/2022
19720,5/30/2022
19952,5/29/2022
1286,5/26/2022
1527,5/30/2022
2015,5/30/2022
2036,5/29/2022
2586,5/24/2022
2713,5/31/2022
2758,5/24/2022
2996,5/25/2022
3739,5/27/2022
6295,5/25/2022
6676,5/31/2022
6847,5/24/2022
8915,5/29/2022
9164,5/26/2022
9556,5/27/2022
10746,5/25/2022
11924,5/31/2022
12078,5/29/2022
12517,5/26/2022
13506,5/30/2022
14064,5/28/2022
14112,5/29/2022
14315,5/24/2022
16472,5/29/2022
17250,5/29/2022
17755,5/26/2022
18173,5/28/2022
19766,5/26/2022
28,5/31/2022
94,5/25/2022
175,5/30/2022
230,5/31/2022
1055,5/30/2022
2240,5/30/2022
2625,5/28/2022
2710,5/31/2022
3235,5/26/2022
4031,5/28/2022
4055,5/28/2022
4442,5/29/2022
5059,5/28/2022
5228,5/29/2022
5691,5/26/2022
5736,5/29/2022
5899,5/26/2022
6445,5/25/2022
6789,5/28/2022
6810,5/27/2022
8484,5/26/2022
9392,5/28/2022
9529,5/25/2022
10182,5/29/2022
10276,5/31/2022
10704,5/31/2022
10717,5/24/2022
10797,5/28/2022
12062,5/27/2022
12071,5/30/2022
14538,5/28/2022
14649,5/24/2022
14725,5/29/2022
15823,5/24/2022
17392,5/27/2022
17649,5/24/2022
17858,5/26/2022
18149,5/24/2022
18238,5/29/2022
18267,5/27/2022
18976,5/24/2022
19463,5/28/2022
19635,5/26/2022
44,5/24/2022
141,5/31/2022
1136,5/25/2022
1679,5/25/2022
1684,5/24/2022
2757,5/30/2022
2906,5/24/2022
2974,5/30/2022
3021,5/25/2022
3236,5/31/2022
3414,5/24/2022
3727,5/31/2022
4121,5/28/2022
5077,5/26/2022
6919,5/26/2022
7554,5/25/2022
8404,5/26/2022
8428,5/26/2022
9471,5/25/2022
9777,5/28/2022
10140,5/27/2022
10198,5/27/2022
10205,5/31/2022
10614,5/29/2022
11461,5/31/2022
11807,5/30/2022
11819,5/25/2022
12311,5/24/2022
13049,5/29/2022
13172,5/27/2022
15504,5/26/2022
16756,5/26/2022
16828,5/24/2022
17191,5/26/2022
17494,5/30/2022
17917,5/27/2022
570,5/25/2022
2137,5/24/2022
2466,5/30/2022
2809,5/24/2022
3381,5/26/2022
3455,5/24/2022
3492,5/26/2022
3538,5/29/2022
3816,5/30/2022
5306,5/26/2022
5492,5/24/2022
6373,5/25/2022
7442,5/26/2022
8405,5/31/2022
9033,5/25/2022
9475,5/24/2022
9614,5/28/2022
9738,5/25/2022
10048,5/24/2022
10855,5/29/2022
11019,5/25/2022
11470,5/30/2022
11889,5/29/2022
12001,5/25/2022
12572,5/31/2022
12750,5/28/2022
13892,5/29/2022
15008,5/24/2022
16640,5/30/2022
16959,5/29/2022
17025,5/30/2022
17420,5/29/2022
17800,5/30/2022
18300,5/30/2022
18437,5/27/2022
18733,5/25/2022
18887,5/27/2022
144,5/31/2022
244,5/29/2022
1211,5/27/2022
1983,5/27/2022
2640,5/29/2022
2931,5/26/2022
3104,5/29/2022
3450,5/25/2022
4096,5/29/2022
4955,5/30/2022
6020,5/24/2022
6398,5/24/2022
8553,5/29/2022
8648,5/28/2022
8856,5/29/2022
8899,5/26/2022
8974,5/24/2022
9697,5/29/2022
9927,5/30/2022
10336,5/31/2022
10634,5/24/2022
10755,5/25/2022
10927,5/27/2022
11031,5/31/2022
11151,5/27/2022
11371,5/26/2022
11593,5/25/2022
11754,5/28/2022
12735,5/26/2022
13291,5/28/2022
14071,5/29/2022
14555,5/27/2022
16939,5/24/2022
17424,5/29/2022
17987,5/30/2022
18788,5/24/2022
19559,5/28/2022
721,5/27/2022
1113,5/27/2022
1470,5/27/2022
2327,5/29/2022
2353,5/28/2022
2778,5/26/2022
2865,5/26/2022
2959,5/28/2022
3039,5/25/2022
3437,5/29/2022
3750,5/29/2022
4515,5/27/2022
4829,5/30/2022
5790,5/30/2022
5988,5/25/2022
6448,5/24/2022
6949,5/30/2022
7372,5/29/2022
7383,5/26/2022
7853,5/29/2022
8758,5/30/2022
9075,5/30/2022
9335,5/27/2022
9443,5/28/2022
9576,5/30/2022
9585,5/30/2022
10138,5/30/2022
10395,5/31/2022
10671,5/28/2022
11010,5/27/2022
11143,5/26/2022
11438,5/25/2022
11669,5/27/2022
12116,5/25/2022
13130,5/26/2022
13507,5/27/2022
13762,5/28/2022
14487,5/26/2022
14747,5/25/2022
14994,5/30/2022
16299,5/31/2022
16300,5/25/2022
17541,5/31/2022
18050,5/30/2022
18833,5/25/2022
19157,5/30/2022
19379,5/24/2022
19442,5/27/2022
62,5/27/2022
315,5/24/2022
942,5/30/2022
1052,5/30/2022
1491,5/25/2022
1879,5/24/2022
1971,5/25/2022
1982,5/24/2022
2253,5/30/2022
3025,5/25/2022
3075,5/28/2022
3257,5/24/2022
3989,5/30/2022
4061,5/27/2022
4786,5/31/2022
5212,5/28/2022
5346,5/31/2022
5443,5/29/2022
6737,5/27/2022
7133,5/28/2022
7435,5/26/2022
7478,5/31/2022
7751,5/27/2022
7844,5/31/2022
8104,5/30/2022
8149,5/29/2022
8257,5/27/2022
8588,5/30/2022
8590,5/25/2022
9237,5/26/2022
9676,5/26/2022
10030,5/29/2022
10117,5/27/2022
10769,5/25/2022
10978,5/31/2022
11134,5/27/2022
11135,5/28/2022
11519,5/31/2022
12821,5/25/2022
13413,5/27/2022
15041,5/26/2022
16182,5/26/2022
18320,5/28/2022
19604,5/27/2022
19731,5/31/2022
19873,5/27/2022
660,5/24/2022
893,5/24/2022
972,5/27/2022
1636,5/24/2022
1878,5/31/2022
3110,5/24/2022
3314,5/29/2022
3370,5/25/2022
4041,5/31/2022
4771,5/27/2022
5061,5/25/2022
5272,5/25/2022
5722,5/26/2022
6217,5/29/2022
6425,5/30/2022
6855,5/26/2022
7546,5/24/2022
8142,5/24/2022
8876,5/26/2022
9121,5/24/2022
9574,5/31/2022
10439,5/27/2022
10453,5/30/2022
10515,5/25/2022
10974,5/26/2022
12488,5/28/2022
14269,5/30/2022
14287,5/27/2022
14551,5/31/2022
15400,5/30/2022
15748,5/29/2022
16031,5/28/2022
16159,5/25/2022
16542,5/26/2022
18065,5/27/2022
18177,5/26/2022
18400,5/30/2022
18772,5/29/2022
19130,5/25/2022
19829,5/27/2022
19876,5/30/2022
333,5/31/2022
340,5/30/2022
836,5/30/2022
1792,5/31/2022
2941,5/27/2022
3321,5/27/2022
3505,5/24/2022
4584,5/27/2022
4641,5/31/2022
5624,5/28/2022
5678,5/24/2022
6070,5/29/2022
6080,5/27/2022
6205,5/26/2022
6484,5/24/2022
7449,5/29/2022
7667,5/29/2022
8312,5/30/2022
8346,5/30/2022
8881,5/26/2022
8966,5/24/2022
8986,5/24/2022
9256,5/24/2022
9650,5/27/2022
9870,5/26/2022
10581,5/24/2022
10687,5/29/2022
10744,5/24/2022
12207,5/30/2022
12297,5/24/2022
13195,5/27/2022
13633,5/31/2022
14499,5/25/2022
15533,5/29/2022
16195,5/30/2022
16891,5/31/2022
17059,5/31/2022
17323,5/28/2022
17979,5/31/2022
18057,5/28/2022
18596,5/29/2022
19096,5/25/2022
3316,5/28/2022
3491,5/28/2022
3599,5/25/2022
3698,5/30/2022
3889,5/31/2022
4741,5/29/2022
5132,5/28/2022
6290,5/27/2022
6503,5/27/2022
6886,5/27/2022
7469,5/24/2022
8762,5/29/2022
9083,5/25/2022
9093,5/29/2022
9189,5/25/2022
10159,5/29/2022
11303,5/30/2022
11551,5/25/2022
12409,5/30/2022
12454,5/31/2022
13153,5/30/2022
13614,5/28/2022
13840,5/26/2022
14289,5/28/2022
15072,5/29/2022
15279,5/25/2022
15363,5/26/2022
16574,5/24/2022
17545,5/27/2022
17585,5/31/2022
18100,5/31/2022
18329,5/28/2022
19310,5/30/2022
213,5/24/2022
593,5/30/2022
1002,5/24/2022
1478,5/25/2022
1552,5/24/2022
2190,5/26/2022
2215,5/29/2022
3122,5/28/2022
3380,5/28/2022
3473,5/28/2022
4164,5/26/2022
5758,5/31/2022
5935,5/25/2022
6369,5/28/2022
6515,5/30/2022
6606,5/29/2022
7515,5/25/2022
8177,5/27/2022
8440,5/24/2022
8565,5/30/2022
11096,5/29/2022
11354,5/31/2022
11359,5/27/2022
11639,5/29/2022
12286,5/29/2022
12493,5/25/2022
12634,5/29/2022
12655,5/29/2022
13090,5/29/2022
13140,5/31/2022
13447,5/24/2022
13595,5/28/2022
13763,5/31/2022
14248,5/31/2022
14278,5/29/2022
14931,5/27/2022
15443,5/28/2022
16487,5/30/2022
18358,5/26/2022
19228,5/27/2022
19781,5/28/2022
19852,5/28/2022
725,5/29/2022
958,5/30/2022
1018,5/31/2022
1454,5/27/2022
1610,5/30/2022
1783,5/31/2022
2026,5/31/2022
3132,5/25/2022
3420,5/25/2022
4285,5/24/2022
4523,5/25/2022
5469,5/30/2022
5645,5/24/2022
6096,5/30/2022
6992,5/24/2022
7824,5/30/2022
9041,5/29/2022
9417,5/31/2022
10114,5/31/2022
10333,5/25/2022
11353,5/28/2022
11356,5/24/2022
11480,5/30/2022
11795,5/26/2022
12045,5/24/2022
12132,5/26/2022
12274,5/29/2022
12971,5/28/2022
15464,5/30/2022
15845,5/26/2022
16036,5/28/2022
16202,5/31/2022
16244,5/26/2022
16483,5/31/2022
17172,5/31/2022
17447,5/29/2022
17633,5/27/2022
18039,5/30/2022
18132,5/26/2022
19550,5/24/2022
1037,5/24/2022
1425,5/25/2022
2595,5/25/2022
3065,5/29/2022
3334,5/25/2022
4184,5/25/2022
4395,5/24/2022
4421,5/24/2022
5073,5/28/2022
5638,5/24/2022
6668,5/24/2022
6751,5/31/2022
7100,5/30/2022
7144,5/31/2022
7624,5/30/2022
7720,5/31/2022
7918,5/31/2022
8661,5/31/2022
10213,5/26/2022
10228,5/31/2022
10895,5/27/2022
11041,5/26/2022
13482,5/24/2022
13524,5/24/2022
13874,5/29/2022
14396,5/24/2022
14537,5/24/2022
14672,5/25/2022
14787,5/29/2022
14822,5/29/2022
15766,5/30/2022
17693,5/30/2022
18144,5/29/2022
18409,5/29/2022
19155,5/24/2022
19372,5/29/2022
19564,5/24/2022
19587,5/25/2022
162,5/28/2022
408,5/25/2022
910,5/27/2022
938,5/25/2022
1068,5/31/2022
1483,5/30/2022
2186,5/26/2022
4127,5/26/2022
4308,5/27/2022
4673,5/31/2022
4700,5/24/2022
4972,5/25/2022
5222,5/24/2022
5244,5/31/2022
5639,5/30/2022
6135,5/27/2022
6906,5/26/2022
7182,5/30/2022
7893,5/25/2022
8621,5/29/2022
8638,5/28/2022
8671,5/25/2022
8817,5/25/2022
9323,5/24/2022
9762,5/24/2022
9806,5/27/2022
9970,5/26/2022
10616,5/25/2022
11167,5/26/2022
11180,5/28/2022
11832,5/31/2022
11962,5/24/2022
12949,5/25/2022
13192,5/27/2022
13354,5/26/2022
13705,5/24/2022
14069,5/24/2022
15744,5/30/2022
16412,5/25/2022
17601,5/30/2022
17745,5/27/2022
19517,5/31/2022
491,5/24/2022
683,5/24/2022
763,5/27/2022
888,5/28/2022
1847,5/24/2022
4566,5/31/2022
5054,5/24/2022
5690,5/25/2022
5824,5/26/2022
6893,5/31/2022
6902,5/25/2022
7046,5/30/2022
7973,5/25/2022
8106,5/30/2022
8455,5/29/2022
8692,5/31/2022
8884,5/30/2022
9466,5/25/2022
9521,5/26/2022
12449,5/28/2022
12761,5/30/2022
12928,5/30/2022
13414,5/31/2022
15193,5/25/2022
15381,5/26/2022
15500,5/28/2022
15671,5/25/2022
15829,5/29/2022
16071,5/26/2022
17732,5/25/2022
17903,5/31/2022
17940,5/28/2022
19176,5/31/2022
19451,5/29/2022
19520,5/26/2022
727,5/25/2022
1400,5/28/2022
2022,5/27/2022
2060,5/25/2022
2405,5/24/2022
2414,5/26/2022
2741,5/27/2022
2994,5/24/2022
3403,5/27/2022
3556,5/29/2022
3942,5/27/2022
5384,5/25/2022
5659,5/25/2022
5843,5/26/2022
5938,5/28/2022
6514,5/31/2022
8003,5/26/2022
8152,5/26/2022
8306,5/27/2022
9736,5/29/2022
10293,5/31/2022
10452,5/26/2022
10620,5/30/2022
11113,5/30/2022
11153,5/28/2022
11432,5/25/2022
14162,5/30/2022
14634,5/27/2022
16423,5/31/2022
17084,5/30/2022
17431,5/30/2022
18248,5/25/2022
18264,5/24/2022
18642,5/30/2022
19582,5/24/2022
19724,5/25/2022
599,5/30/2022
732,5/28/2022
4593,5/26/2022
5387,5/25/2022
6556,5/30/2022
7617,5/24/2022
8554,5/24/2022
8775,5/26/2022
9219,5/25/2022
10369,5/29/2022
10520,5/27/2022
11302,5/26/2022
11336,5/25/2022
12927,5/31/2022
13844,5/26/2022
14602,5/31/2022
14982,5/27/2022
15957,5/26/2022
16336,5/24/2022
16572,5/25/2022
16839,5/31/2022
17697,5/29/2022
17959,5/31/2022
18088,5/29/2022
18574,5/28/2022
18664,5/30/2022
19979,5/31/2022
840,5/27/2022
2786,5/31/2022
3264,5/25/2022
5220,5/26/2022
5305,5/28/2022
5496,5/24/2022
6252,5/28/2022
6347,5/29/2022
7091,5/30/2022
7400,5/30/2022
7402,5/27/2022
7428,5/26/2022
8070,5/25/2022
8595,5/30/2022
8714,5/27/2022
9134,5/31/2022
10145,5/30/2022
10603,5/30/2022
11130,5/24/2022
13260,5/26/2022
13861,5/25/2022
14401,5/24/2022
14941,5/28/2022
15630,5/28/2022
16630,5/28/2022
17293,5/24/2022
17471,5/29/2022
18365,5/25/2022
19332,5/25/2022
38,5/31/2022
358,5/30/2022
1001,5/25/2022
1256,5/31/2022
1368,5/29/2022
2342,5/28/2022
2782,5/28/2022
3020,5/29/2022
3534,5/26/2022
3783,5/27/2022
4095,5/25/2022
4507,5/28/2022
4830,5/29/2022
5534,5/29/2022
5819,5/24/2022
5860,5/31/2022
7137,5/25/2022
7191,5/25/2022
7381,5/27/2022
7508,5/27/2022
7601,5/28/2022
7690,5/25/2022
8361,5/24/2022
8497,5/26/2022
8625,5/25/2022
9787,5/31/2022
10163,5/25/2022
10257,5/28/2022
11492,5/31/2022
12208,5/31/2022
12220,5/25/2022
12304,5/24/2022
12340,5/24/2022
13077,5/30/2022
13093,5/28/2022
13303,5/25/2022
13401,5/28/2022
13875,5/28/2022
13899,5/29/2022
14645,5/24/2022
15064,5/26/2022
15078,5/31/2022
15437,5/31/2022
15752,5/24/2022
16568,5/29/2022
16583,5/24/2022
17336,5/24/2022
17966,5/24/2022
19737,5/30/2022
439,5/30/2022
1881,5/31/2022
2380,5/31/2022
2722,5/26/2022
3371,5/30/2022
3500,5/28/2022
3722,5/28/2022
4065,5/25/2022
5506,5/24/2022
6034,5/31/2022
6035,5/27/2022
6187,5/30/2022
7326,5/27/2022
7459,5/28/2022
8054,5/31/2022
8338,5/30/2022
8605,5/26/2022
8734,5/28/2022
9424,5/29/2022
11810,5/26/2022
11813,5/28/2022
12146,5/27/2022
12552,5/24/2022
13699,5/24/2022
13975,5/26/2022
14170,5/26/2022
14234,5/27/2022
14625,5/30/2022
15277,5/25/2022
15319,5/28/2022
15940,5/28/2022
16403,5/28/2022
16530,5/28/2022
16909,5/25/2022
18387,5/28/2022
18585,5/30/2022
19047,5/24/2022
19371,5/27/2022
19967,5/30/2022
121,5/29/2022
242,5/24/2022
312,5/31/2022
339,5/24/2022
930,5/30/2022
1007,5/29/2022
1054,5/29/2022
2153,5/25/2022
2247,5/31/2022
3169,5/25/2022
3757,5/30/2022
4203,5/27/2022
4431,5/25/2022
4783,5/25/2022
4903,5/29/2022
5723,5/28/2022
5816,5/31/2022
7867,5/31/2022
8609,5/24/2022
8769,5/28/2022
8935,5/30/2022
8948,5/28/2022
9202,5/26/2022
9441,5/30/2022
9770,5/25/2022
10241,5/26/2022
10365,5/30/2022
11150,5/24/2022
11376,5/24/2022
11418,5/26/2022
11905,5/29/2022
12564,5/30/2022
13001,5/29/2022
14150,5/28/2022
17554,5/28/2022
17764,5/29/2022
18301,5/24/2022
19026,5/28/2022
19728,5/25/2022
252,5/31/2022
493,5/24/2022
536,5/27/2022
543,5/30/2022
719,5/29/2022
1030,5/25/2022
1237,5/28/2022
1518,5/27/2022
2404,5/30/2022
3444,5/31/2022
4092,5/31/2022
5110,5/27/2022
5185,5/27/2022
5275,5/25/2022
5543,5/28/2022
6210,5/31/2022
6686,5/29/2022
6942,5/28/2022
7928,5/30/2022
9432,5/24/2022
9488,5/25/2022
12531,5/31/2022
12587,5/27/2022
12681,5/29/2022
12702,5/24/2022
13122,5/30/2022
13622,5/25/2022
13669,5/27/2022
14006,5/24/2022
14866,5/25/2022
15068,5/24/2022
15817,5/27/2022
16373,5/29/2022
16782,5/30/2022
16966,5/29/2022
17639,5/28/2022
18165,5/25/2022
18220,5/25/2022
18315,5/26/2022
18367,5/24/2022
18606,5/27/2022
19886,5/25/2022
382,5/28/2022
451,5/30/2022
1496,5/26/2022
1949,5/28/2022
2490,5/27/2022
2709,5/24/2022
3162,5/28/2022
3869,5/26/2022
5340,5/31/2022
6564,5/25/2022
6639,5/25/2022
7650,5/30/2022
7788,5/31/2022
8620,5/25/2022
9163,5/27/2022
9557,5/29/2022
10199,5/27/2022
10356,5/29/2022
11909,5/26/2022
12414,5/30/2022
12589,5/24/2022
13046,5/25/2022
13676,5/28/2022
13753,5/27/2022
13968,5/28/2022
14193,5/27/2022
15945,5/28/2022
16013,5/31/2022
16928,5/28/2022
17029,5/31/2022
18148,5/27/2022
18193,5/30/2022
18482,5/29/2022
18589,5/29/2022
19063,5/31/2022
19823,5/31/2022
1117,5/28/2022
1260,5/31/2022
2133,5/30/2022
2292,5/28/2022
2883,5/25/2022
3046,5/26/2022
3590,5/27/2022
4264,5/26/2022
4362,5/25/2022
4590,5/26/2022
5169,5/25/2022
5231,5/24/2022
5378,5/25/2022
6184,5/24/2022
6282,5/31/2022
8367,5/28/2022
8466,5/26/2022
8510,5/31/2022
8606,5/24/2022
9084,5/25/2022
10279,5/31/2022
10735,5/27/2022
11088,5/25/2022
11263,5/29/2022
11497,5/28/2022
11529,5/26/2022
12053,5/27/2022
12483,5/26/2022
13054,5/29/2022
13647,5/25/2022
15323,5/29/2022
15554,5/26/2022
15732,5/25/2022
16361,5/28/2022
16571,5/28/2022
16737,5/27/2022
16800,5/26/2022
18453,5/24/2022
18501,5/30/2022
18620,5/31/2022
18699,5/24/2022
18890,5/24/2022
18971,5/26/2022
19252,5/29/2022
19328,5/25/2022
19423,5/25/2022
19534,5/30/2022
223,5/27/2022
552,5/27/2022
2002,5/29/2022
2234,5/24/2022
3187,5/29/2022
4101,5/31/2022
5441,5/30/2022
6105,5/25/2022
6709,5/24/2022
7977,5/25/2022
9440,5/30/2022
9496,5/25/2022
10107,5/30/2022
10473,5/27/2022
11100,5/28/2022
11647,5/30/2022
15131,5/30/2022
16409,5/26/2022
16849,5/27/2022
17955,5/26/2022
18093,5/29/2022
18212,5/25/2022
18364,5/30/2022
18433,5/28/2022
18530,5/29/2022
19250,5/31/2022
19495,5/27/2022
19669,5/25/2022
216,5/28/2022
513,5/31/2022
1045,5/26/2022
1345,5/26/2022
2294,5/28/2022
2715,5/27/2022
2917,5/30/2022
4129,5/26/2022
5194,5/28/2022
5201,5/24/2022
6542,5/26/2022
6755,5/31/2022
7197,5/29/2022
7542,5/24/2022
7586,5/25/2022
7926,5/27/2022
8900,5/31/2022
9597,5/31/2022
9817,5/27/2022
11064,5/26/2022
11330,5/31/2022
13750,5/31/2022
14591,5/31/2022
15160,5/29/2022
15196,5/25/2022
15580,5/24/2022
16604,5/30/2022
17547,5/27/2022
18147,5/30/2022
18444,5/29/2022
18644,5/25/2022
19208,5/25/2022
19464,5/26/2022
40,5/25/2022
93,5/29/2022
1694,5/28/2022
2147,5/25/2022
2194,5/27/2022
2544,5/29/2022
2838,5/26/2022
3027,5/29/2022
3295,5/27/2022
3478,5/30/2022
4351,5/31/2022
6368,5/29/2022
6518,5/27/2022
7102,5/26/2022
7963,5/25/2022
8901,5/25/2022
9048,5/25/2022
9085,5/28/2022
9654,5/30/2022
9818,5/31/2022
10459,5/26/2022
10819,5/29/2022
11622,5/30/2022
12054,5/28/2022
12388,5/28/2022
12526,5/29/2022
13152,5/25/2022
13238,5/25/2022
13529,5/27/2022
14109,5/26/2022
14546,5/24/2022
14613,5/25/2022
14735,5/30/2022
15648,5/25/2022
15997,5/28/2022
16313,5/28/2022
18236,5/25/2022
19126,5/26/2022
19344,5/24/2022
19625,5/25/2022
166,5/30/2022
190,5/26/2022
309,5/29/2022
601,5/24/2022
987,5/28/2022
1154,5/28/2022
2430,5/26/2022
2734,5/30/2022
3196,5/26/2022
3449,5/24/2022
4501,5/29/2022
5180,5/30/2022
5213,5/30/2022
5763,5/29/2022
6239,5/28/2022
6841,5/31/2022
7018,5/31/2022
7199,5/30/2022
7697,5/27/2022
8979,5/28/2022
10192,5/27/2022
10378,5/28/2022
11279,5/30/2022
12727,5/28/2022
13997,5/27/2022
15261,5/31/2022
16352,5/25/2022
16524,5/27/2022
16585,5/31/2022
16762,5/24/2022
16804,5/25/2022
17464,5/29/2022
17503,5/29/2022
17586,5/29/2022
18112,5/30/2022
18124,5/31/2022
18918,5/24/2022
18957,5/31/2022
19039,5/26/2022
2275,5/28/2022
2391,5/31/2022
2557,5/31/2022
3615,5/30/2022
4299,5/30/2022
5367,5/27/2022
5386,5/28/2022
5539,5/27/2022
6952,5/29/2022
7604,5/28/2022
7762,5/27/2022
9161,5/30/2022
9192,5/26/2022
9262,5/24/2022
9419,5/25/2022
10865,5/25/2022
12033,5/28/2022
12765,5/27/2022
13070,5/26/2022
13234,5/31/2022
13710,5/30/2022
14171,5/29/2022
14377,5/29/2022
14691,5/28/2022
15136,5/25/2022
15156,5/28/2022
15334,5/30/2022
15725,5/26/2022
17640,5/27/2022
18601,5/30/2022
18841,5/24/2022
18930,5/24/2022
19312,5/24/2022
19662,5/26/2022
250,5/27/2022
445,5/26/2022
518,5/25/2022
1718,5/27/2022
1875,5/31/2022
2367,5/28/2022
3628,5/24/2022
4557,5/30/2022
4599,5/24/2022
5371,5/30/2022
6007,5/25/2022
6342,5/31/2022
6712,5/26/2022
7389,5/28/2022
8125,5/26/2022
8903,5/27/2022
8964,5/29/2022
9775,5/24/2022
9925,5/25/2022
10467,5/29/2022
10499,5/25/2022
10652,5/25/2022
10656,5/30/2022
10898,5/27/2022
10946,5/30/2022
11477,5/31/2022
11479,5/24/2022
11940,5/31/2022
12920,5/26/2022
13255,5/28/2022
13682,5/28/2022
14865,5/28/2022
14881,5/31/2022
14940,5/27/2022
15229,5/24/2022
15968,5/29/2022
16128,5/28/2022
16413,5/24/2022
16531,5/24/2022
16794,5/28/2022
17036,5/25/2022
17667,5/31/2022
17715,5/27/2022
17811,5/27/2022
17963,5/25/2022
19007,5/30/2022
19305,5/31/2022
19446,5/29/2022
988,5/31/2022
1180,5/24/2022
1264,5/31/2022
1333,5/31/2022
1903,5/27/2022
2936,5/26/2022
3651,5/26/2022
3788,5/28/2022
4403,5/26/2022
4588,5/28/2022
5118,5/31/2022
6371,5/25/2022
7262,5/28/2022
8529,5/24/2022
8744,5/27/2022
9118,5/28/2022
9459,5/27/2022
9728,5/30/2022
11390,5/25/2022
13006,5/24/2022
13488,5/26/2022
14337,5/28/2022
15574,5/30/2022
